product_code|gender|full_price|price|currency|country|item_url|brand|website|date|price_max
s9441187g|WOMEN|0|268.00|GBP|United Kingdom|/uk/heels/idaya-heels/invt/s9441187g|KATE SPADE|KATE SPADE|20170222|0
s9441186f|WOMEN|0|295.00|GBP|United Kingdom|/uk/heels/ideline-heels/invt/s9441186f|KATE SPADE|KATE SPADE|20170222|0
5041304-673|WOMEN|0|85.00|GBP|United Kingdom|/uk/sleepwear/french-terry-short-robe/invt/5041304-673|KATE SPADE|KATE SPADE|20170222|0
5061301-684|WOMEN|0|85.00|GBP|United Kingdom|/uk/sleepwear/charmeuse-jumpsuit/invt/5061301-684|KATE SPADE|KATE SPADE|20170222|0
ks1000817|WOMEN|0|55.00|EUR|France|/uk/hats-belts+scarves/monster-beanie/invt/ks1000817|KATE SPADE|KATE SPADE|20170222|0
ks1000816|WOMEN|0|185.00|EUR|France|/uk/hats-belts+scarves/monster-muffler/invt/ks1000816|KATE SPADE|KATE SPADE|20170222|0
ks1000764-001|WOMEN|0|45.00|EUR|France|/uk/hats-belts+scarves/beanie-with-grosgrain-bow/invt/ks1000764-001|KATE SPADE|KATE SPADE|20170222|0
pxru5931-437|WOMEN|0|340.00|EUR|Germany|/uk/satchels/cameron-street-candace-satchel/invt/pxru5931-437|KATE SPADE|KATE SPADE|20170222|0
pwru5533-234|WOMEN|0|140.00|EUR|Germany|/uk/cross-body/cameron-street-arielle/invt/pwru5533-234|KATE SPADE|KATE SPADE|20170222|0
pxru6912-437|WOMEN|0|268.00|EUR|Germany|/uk/cross-body/cameron-street-byrdie/invt/pxru6912-437|KATE SPADE|KATE SPADE|20170222|0
pwru5533-438|WOMEN|0|140.00|EUR|Germany|/uk/cross-body/cameron-street-arielle/invt/pwru5533-438|KATE SPADE|KATE SPADE|20170222|0
pxru6637-428|WOMEN|0|178.00|EUR|Germany|/uk/clutches/wedding-belles-charla/invt/pxru6637-428|KATE SPADE|KATE SPADE|20170222|0
pxru6924-433|WOMEN|0|178.00|EUR|Germany|/uk/cross-body/cameron-street-sima/invt/pxru6924-433|KATE SPADE|KATE SPADE|20170222|0
pxru7624-001|WOMEN|0|315.00|EUR|Germany|/uk/satchels/orchard-street-small-elowen/invt/pxru7624-001|KATE SPADE|KATE SPADE|20170222|0
wbrud280|WOMEN|0|50.00|EUR|France|/uk/bracelets/be-mine-cluster-charm-bracelet/invt/wbrud280|KATE SPADE|KATE SPADE|20170222|0
wbrud281|WOMEN|0|60.00|EUR|France|/uk/necklaces/be-mine-cluster-pendant/invt/wbrud281|KATE SPADE|KATE SPADE|20170222|0
wbrud284|WOMEN|0|40.00|EUR|France|/uk/earrings/be-mine-heart-and-arrow-studs/invt/wbrud284|KATE SPADE|KATE SPADE|20170222|0
wbrud286|WOMEN|0|70.00|EUR|France|/uk/rings/be-mine-heart-cocktail-ring/invt/wbrud286|KATE SPADE|KATE SPADE|20170222|0
wbrud290|WOMEN|0|88.00|EUR|France|/uk/necklaces/be-mine-heart-locket/invt/wbrud290|KATE SPADE|KATE SPADE|20170222|0
wbrud293|WOMEN|0|60.00|EUR|France|/uk/earrings/be-mine-heart-and-arrow-hoops/invt/wbrud293|KATE SPADE|KATE SPADE|20170222|0
wbrud342|WOMEN|0|70.00|EUR|France|/uk/bracelets/idiom-bangles-unlock-my-heart-hinged/invt/wbrud342|KATE SPADE|KATE SPADE|20170222|0
817603|WOMEN|0|52.00|GBP|United Kingdom|/uk/grace-avenue-5x7-frame/invt/817603|KATE SPADE|KATE SPADE|20170222|0
854774|WOMEN|0|52.00|GBP|United Kingdom|/uk/take-the-cake-5x7-frame/invt/854774|KATE SPADE|KATE SPADE|20170222|0
166430|WOMEN|0|25.00|GBP|United Kingdom|/uk/desk+stationery/well-wishes-guest-book/invt/166430|KATE SPADE|KATE SPADE|20170222|0
